Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats
304,47,73,67,58,59,9,11,14,1619,356
337,74,60,58,75,70,15,13,12,2011,411
316,73,62,50,71,60,9,9,8,1859,388
292,71,64,37,64,56,9,7,10,1711,371
228,49,17,71,61,30,12,6,14,1684,349
334,59,75,62,67,71,11,9,14,1742,370
279,54,47,64,71,43,13,15,11,1845,388
302,63,60,45,68,66,13,9,13,1829,390
315,57,59,67,73,59,13,9,15,1943,410
344,70,70,70,71,63,15,13,6,1851,384
302,55,60,51,74,62,9,10,12,1930,413
302,57,62,64,68,51,11,10,14,1904,403
326,67,67,58,69,65,16,9,14,1991,418
271,70,26,65,66,44,12,12,12,1799,379
316,63,66,63,69,55,9,10,14,1911,409
291,67,65,40,67,52,15,8,8,1733,369
326,58,70,72,59,67,12,7,8,1751,373
336,52,68,83,65,68,12,8,14,1882,380
277,66,49,47,61,54,7,7,7,1883,405
331,66,68,55,76,66,8,8,15,1826,382
301,64,65,53,70,49,8,10,10,1776,374
282,54,54,46,74,54,11,13,12,1829,387
309,64,62,52,68,63,14,16,10,1902,406
301,57,64,64,65,51,13,6,9,1713,386
292,66,66,37,72,51,14,5,14,1757,365
304,64,68,55,67,50,12,14,14,1716,362
300,68,50,60,66,56,16,7,15,1858,395
307,53,76,57,58,63,12,10,10,1746,382
197,17,25,72,60,23,16,12,16,1544,330
329,62,69,54,71,73,13,12,11,1780,362
315,71,64,52,68,60,14,8,9,1828,387
72,14,7,14,28,9,73,71,71,1035,373
305,68,60,38,74,65,9,14,12,1893,393
298,40,74,70,62,52,11,6,12,1611,360
101,13,11,15,52,10,74,69,69,1276,403
266,63,40,66,65,32,13,10,6,1775,373
342,60,70,80,64,68,6,12,15,1773,371
78,18,14,17,16,13,72,70,71,1154,398
314,63,56,68,70,57,14,8,7,1927,408
298,69,38,72,70,49,14,10,11,1956,387
201,35,18,65,60,23,12,14,14,1497,322
320,76,58,50,68,68,7,9,7,1837,380
344,68,68,67,67,74,9,14,7,1905,396
296,53,56,51,75,61,13,7,12,1847,396
189,24,17,69,64,15,11,10,8,1492,331
283,62,63,32,70,56,7,16,10,1874,400
277,63,48,58,67,41,14,14,13,1790,392
277,68,45,63,66,35,14,9,13,1736,383
294,71,55,57,63,48,14,11,11,1904,416
329,68,69,59,72,61,9,13,16,1948,407
313,66,60,59,69,59,14,9,12,1888,400
330,64,68,67,62,69,12,13,11,1819,376
310,65,61,50,68,66,11,9,9,1774,368
220,28,21,71,67,33,11,15,10,1589,353
303,65,52,74,72,40,12,12,19,1838,391
319,54,73,59,68,65,8,9,7,1727,374
88,21,13,10,34,10,70,69,71,1204,389
330,68,67,59,71,65,15,9,11,1967,411
302,64,64,50,65,59,13,8,10,1907,409
327,59,70,75,63,60,16,10,10,1708,367
261,47,41,75,53,45,14,10,10,1692,356
331,66,70,67,66,62,9,14,13,1773,381
329,62,70,62,64,71,10,11,8,1796,381
305,40,72,70,58,65,7,9,8,1620,351
329,70,69,56,68,66,7,8,10,1796,376
298,55,63,56,72,52,8,6,9,1775,380
317,41,74,78,63,61,15,14,10,1680,360
105,22,8,14,42,19,69,70,69,1157,384
278,56,41,66,69,46,15,8,18,1879,375
326,76,64,49,72,65,8,7,14,1770,373
270,60,61,37,69,43,10,15,8,1800,389
82,15,13,16,27,11,69,69,68,1221,388
326,73,68,59,71,55,9,14,12,1836,372
321,59,80,55,68,59,15,12,6,1796,365
296,61,40,70,74,51,15,8,10,1794,378
246,68,30,52,68,28,11,8,7,1808,391
328,71,65,61,70,61,8,14,10,1980,423
105,18,17,15,35,20,68,67,70,1212,390
232,43,31,72,66,20,8,14,11,1526,327
70,10,7,22,19,12,67,67,72,1147,391
309,60,64,79,66,40,8,7,7,1824,379
280,45,54,69,70,42,8,7,15,1717,357
316,74,59,52,67,64,7,9,11,1943,408
215,32,24,68,58,33,13,10,12,1476,312
302,66,69,45,73,49,7,7,6,1741,386
299,65,64,45,71,54,8,14,15,1768,365
307,65,66,45,68,63,11,10,7,1816,379
302,64,58,47,76,57,12,13,16,1875,394
253,62,37,52,68,34,15,8,7,1811,390
317,67,69,71,63,47,16,9,8,1919,405
288,64,67,36,69,52,12,6,7,1766,379
279,58,55,56,71,39,13,11,9,1761,383
267,64,31,66,70,36,12,6,13,1724,374
284,68,58,66,64,28,11,11,5,1796,402
237,61,29,67,61,19,13,12,12,1630,355
287,51,44,66,70,56,5,9,10,1820,396
311,70,68,42,68,63,9,10,14,1859,390
288,59,58,51,69,51,11,13,6,1954,427
286,71,45,51,65,54,9,13,9,1887,391
295,45,73,62,61,54,13,8,14,1730,382
298,59,55,55,72,57,11,6,13,1900,405
330,69,71,57,67,66,9,15,8,1835,376
313,65,66,55,72,55,12,7,12,1925,400
330,61,70,64,67,68,8,15,12,1812,377
298,52,69,65,72,40,15,6,10,1891,412
309,62,62,58,70,57,15,14,15,1846,381
234,30,39,74,56,35,7,13,15,1532,323
313,50,74,58,61,70,10,8,5,1669,358
323,68,67,61,68,59,10,8,13,1721,384
311,62,67,54,66,62,7,9,12,1729,377
325,70,62,64,70,59,6,11,15,1942,408
55,13,7,14,15,6,70,72,71,1043,373
329,63,64,60,70,72,12,11,12,2001,416
95,18,16,19,26,16,71,68,70,1217,399
260,69,40,48,66,37,14,8,12,1841,396
317,68,50,60,77,62,13,8,14,1927,398
290,61,60,47,67,55,7,13,11,1746,380
271,67,34,65,65,40,8,14,10,1792,380
307,33,74,74,62,64,13,13,11,1688,354
330,51,68,76,68,67,12,14,11,1827,391
221,29,29,68,65,30,10,10,13,1489,327
306,68,64,50,72,52,7,7,15,1979,425
286,54,54,62,70,46,6,15,10,1844,401
259,32,59,55,78,35,40,66,45,1964,381
311,59,77,58,57,60,12,8,7,1703,378
86,12,15,12,33,14,64,73,75,1085,380
324,69,69,62,65,59,15,7,16,1915,411
256,63,40,53,69,31,12,10,8,1666,369
319,64,45,72,78,60,12,15,11,1852,382
296,50,75,69,56,46,10,7,6,1623,353
278,61,33,74,66,44,10,16,11,1792,360
298,71,58,55,70,44,13,11,12,1785,383
327,37,72,73,67,78,8,10,12,1730,370
310,59,65,59,69,58,10,8,12,1896,411
228,30,28,70,66,34,11,9,11,1523,335
271,62,40,57,64,48,6,9,12,1762,375
336,56,75,75,64,66,16,8,10,1788,370
263,69,30,66,66,32,7,13,8,1570,346
269,62,61,34,70,42,8,8,13,1795,382
285,70,59,46,68,42,12,12,15,1777,376
282,70,51,59,62,40,13,10,14,1758,382
321,66,68,61,71,55,15,7,10,1873,391
319,64,76,59,62,58,5,11,14,1745,377
326,66,67,64,71,58,9,9,10,1919,417
350,77,70,53,75,75,10,9,12,1964,412
84,12,14,13,29,16,66,70,72,1123,387
331,66,70,65,62,68,15,7,9,1740,362
291,70,54,56,65,46,16,13,14,1888,410
278,70,32,52,66,58,13,7,14,1928,404
224,36,23,67,62,36,5,7,6,1678,362
333,57,71,66,64,75,10,12,12,1786,374
268,46,46,68,68,40,5,12,14,1801,382
312,74,64,30,74,70,13,7,9,1778,361
300,37,69,65,62,67,5,5,14,1611,354
298,68,66,29,68,67,7,12,13,1821,379
320,48,70,68,66,68,8,10,12,1634,355
281,47,56,60,73,45,7,12,14,1852,406
301,65,69,43,63,61,13,12,11,1756,370
194,17,20,69,68,20,16,9,14,1503,323
315,70,65,47,66,67,9,14,9,1738,384
275,69,34,69,70,33,12,13,7,1553,339
225,34,23,67,67,34,7,11,8,1500,328
317,60,65,62,68,62,7,7,11,1761,375
342,70,74,58,65,75,16,16,15,1889,391
263,40,51,69,68,35,9,7,11,1573,349
326,58,72,65,64,67,10,9,13,1854,393
308,40,71,61,61,75,11,12,8,1762,361
276,28,74,54,66,54,15,10,15,1531,343
267,39,42,69,68,49,14,16,14,1781,378
250,39,40,67,62,42,7,6,8,1758,378
316,50,72,73,54,67,13,8,12,1674,364
249,23,44,76,66,40,12,14,10,1538,339
259,52,43,50,73,41,12,11,7,1832,396
307,63,58,56,75,55,12,14,8,1897,404
290,64,46,67,66,47,10,12,10,1811,388
289,53,47,62,71,56,8,8,11,1820,391
83,12,8,10,45,8,62,65,75,1121,379
84,19,12,11,24,18,60,70,74,1144,384
340,65,73,67,70,65,8,8,14,1727,372
255,64,28,50,67,46,13,12,6,1716,382
80,10,9,9,45,7,65,64,74,1110,377
75,11,10,13,32,9,62,73,69,1128,390
266,70,41,47,74,34,6,7,11,1714,354
310,60,69,44,61,76,10,10,9,1818,374
306,63,66,56,66,55,13,14,11,1757,378
275,47,50,64,65,49,7,10,15,1887,391
341,69,70,71,68,63,14,11,14,1829,379
50,10,6,14,15,5,68,66,72,983,369
328,46,72,74,67,69,8,13,6,1675,359
276,66,44,61,66,39,8,7,14,1780,389
337,58,74,75,66,64,15,12,13,1673,351
247,68,22,68,64,25,15,12,5,1703,360
232,68,26,48,67,23,15,7,7,1671,361
267,48,42,77,65,35,12,11,14,1727,364
343,51,69,83,69,71,8,16,11,1803,364
318,65,63,60,70,60,14,6,9,1888,401
226,31,26,70,68,31,13,9,10,1453,314
332,67,67,65,74,59,16,16,16,1933,405
291,50,58,70,68,45,11,8,14,1866,396
235,42,48,44,70,31,5,14,5,1746,390
316,67,40,72,73,64,3,7,5,1914,395
194,35,16,74,55,14,7,15,9,1435,306
275,53,51,51,71,49,5,8,11,1866,398
246,47,39,51,65,44,6,15,5,1780,374
334,70,65,60,70,69,12,13,6,1865,386
295,71,54,56,68,46,6,11,9,1850,396
297,70,61,47,70,49,12,14,14,1951,405
357,72,71,72,72,70,10,16,10,1828,380
290,68,55,72,62,33,13,16,7,1812,392
289,68,42,58,65,56,10,13,10,1870,398
314,44,74,68,60,68,6,11,10,1602,342
290,70,48,59,75,38,9,9,12,1742,365
98,14,14,12,38,20,62,66,73,1170,377
224,35,33,73,56,27,7,16,6,1578,321
297,58,58,62,73,46,11,10,6,1875,406
328,63,55,62,74,74,6,7,10,1824,398
312,69,67,51,66,59,13,7,10,1833,396
294,70,54,58,69,43,13,13,13,1913,407
287,67,61,45,65,49,12,16,12,1820,394
344,71,67,57,77,72,5,8,9,1946,409
271,64,45,56,64,42,15,7,10,1780,385
333,68,72,59,67,67,10,13,13,1773,383
333,67,65,70,69,62,11,10,12,1830,384
241,44,37,73,60,27,12,10,10,1615,346
217,44,26,64,58,25,15,11,7,1567,331
340,55,73,79,62,71,13,16,9,1701,351
219,39,26,74,49,31,6,11,15,1521,331
306,73,57,57,65,54,11,9,7,1872,403
304,50,72,58,59,65,9,15,13,1622,366
331,59,72,69,65,66,10,8,9,1771,372
334,48,74,75,65,72,8,15,9,1805,376
252,67,28,59,65,33,10,13,8,1794,383
324,51,69,69,65,70,8,10,12,1792,392
210,27,24,76,59,24,11,15,10,1411,317
265,44,36,75,64,46,11,15,15,1674,352
94,19,13,16,31,15,73,68,73,1261,401
250,63,28,69,63,27,15,8,11,1759,370
291,66,45,53,68,59,7,16,7,1838,392
261,63,38,67,68,25,12,10,11,1680,357
316,65,68,50,68,65,14,12,6,1777,374
327,58,74,63,66,66,6,11,7,1656,356
102,18,13,19,36,16,53,70,72,1073,361
331,61,70,76,66,58,11,9,11,1934,407
295,59,66,48,74,48,14,15,15,1921,412
225,33,34,55,72,31,13,13,8,1609,351
315,63,66,51,72,63,14,14,7,1931,414
304,60,60,50,61,73,11,6,13,1764,379
292,67,71,43,66,45,13,9,10,1717,377
294,55,52,66,67,54,12,13,9,1877,413
316,67,61,60,69,59,10,9,5,1889,399
325,62,79,61,71,52,13,5,10,1817,391
96,14,12,11,45,14,69,70,72,1174,383
352,70,73,72,72,65,11,12,12,1855,389
307,62,68,41,66,70,3,3,3,1760,373
240,46,43,40,68,43,8,14,8,1755,380
90,15,14,15,32,14,65,68,71,1133,398
306,65,71,37,67,66,12,10,15,1855,395
328,62,68,54,70,74,10,8,8,1831,388
347,65,69,80,63,70,9,9,13,1833,389
280,71,34,69,70,36,13,8,13,1735,358
260,65,30,61,69,35,14,16,6,1789,372
69,12,10,10,27,10,68,71,70,1012,366
261,67,37,56,65,36,10,12,6,1666,363
324,54,73,65,66,66,14,10,7,1733,377
309,66,52,59,70,62,10,5,10,1877,409
300,75,48,60,64,53,6,7,12,1887,401
91,12,18,17,25,19,63,70,69,1240,395
315,69,65,47,70,64,7,10,15,1754,373
258,49,37,57,70,45,12,14,12,1741,379
331,64,65,71,70,61,11,5,9,1677,364
285,66,66,40,61,52,15,14,11,1756,372
235,37,36,69,61,32,12,8,13,1548,336
326,77,69,42,72,66,11,10,5,1849,388
248,39,41,81,65,22,14,12,10,1625,345
287,70,58,48,75,36,7,12,7,1768,373
301,63,69,51,65,53,9,8,12,1701,364
319,68,66,66,63,56,13,6,8,1778,393
281,69,42,62,71,37,8,10,12,1788,383
268,50,39,54,69,56,13,8,15,1839,380
326,78,58,65,69,56,8,9,8,1913,394
292,68,63,45,69,47,6,7,9,1789,388
281,70,52,57,70,32,9,11,5,1854,387
85,14,19,15,25,12,75,68,70,1183,403
330,69,70,55,68,68,6,8,13,1851,391
232,31,38,70,65,28,12,11,14,1568,349
343,64,69,75,67,68,6,7,12,1776,372
325,46,74,69,64,72,8,14,11,1712,358
299,73,57,44,69,56,14,10,9,1714,372
278,74,48,58,67,31,11,14,12,1633,351
319,62,63,76,66,52,8,11,7,1974,413
226,25,35,73,60,33,10,15,10,1513,322
304,56,69,68,58,53,8,6,15,1613,353
292,59,65,37,70,61,15,7,10,1808,376
298,68,50,63,67,50,14,7,9,1837,394
297,65,42,67,71,52,13,11,6,1868,392
227,33,30,73,62,29,13,6,15,1493,315
288,50,59,58,74,47,9,12,11,1854,386
291,66,66,36,67,56,7,9,10,1751,384
334,59,71,61,70,73,12,8,14,1827,389
298,58,49,57,68,66,12,6,14,1908,400
347,70,64,72,71,70,16,11,9,1856,386
308,58,62,60,70,58,12,11,11,1943,417
327,66,69,53,68,71,9,15,6,1817,380
243,72,31,51,68,21,10,8,11,1688,370
347,72,66,58,77,74,6,12,8,1832,373
113,14,18,19,50,12,68,68,73,1248,387
323,56,72,70,59,66,8,8,13,1791,365
304,70,47,64,72,51,10,14,14,1865,392
239,44,25,77,60,33,8,14,10,1460,294
301,62,65,45,69,60,15,16,7,1787,374
79,13,16,12,25,13,70,69,72,1135,393
305,73,64,58,66,44,12,15,12,1894,410
212,41,22,69,54,26,11,6,9,1512,334
319,51,70,68,66,64,11,13,8,1761,387
308,71,64,53,67,53,10,6,15,1741,373
296,74,56,55,66,45,11,13,12,1864,406
197,21,21,68,63,24,15,7,6,1434,321
247,61,26,58,66,36,14,14,13,1785,375
315,40,73,67,64,71,15,10,6,1704,360
232,38,30,66,73,25,11,8,9,1546,344
335,66,74,67,67,61,13,14,12,1779,368
340,57,69,74,67,73,10,13,11,1702,362
337,68,72,67,62,68,9,12,15,1781,379
280,65,48,61,67,39,15,9,6,1800,395
88,13,15,16,25,19,67,69,73,1119,378
293,65,42,59,65,62,8,16,7,1879,393
331,72,65,58,70,66,16,16,6,1872,384
319,66,66,52,65,70,16,15,15,1814,377
264,64,47,60,67,26,9,14,15,1761,401
274,70,39,61,67,37,11,15,12,1838,385
312,65,62,61,72,52,15,12,7,1888,399
323,60,76,61,65,61,15,13,11,1725,376
305,63,59,49,75,59,8,9,13,1881,391
288,66,36,71,64,51,9,10,13,1860,390
314,48,75,72,64,55,7,14,14,1621,355
329,53,72,78,63,63,14,13,14,1761,378
322,68,68,57,66,63,15,8,6,1879,400
315,60,68,51,76,60,7,15,13,1876,393
315,65,67,46,71,66,15,12,7,1740,357
258,66,49,42,68,33,12,7,15,1823,401
309,70,61,38,75,65,13,7,14,1773,380
210,34,26,70,51,29,15,12,11,1557,335
300,65,64,47,67,57,6,12,13,1704,374
80,11,19,14,21,15,68,70,65,1114,399
296,50,65,67,63,51,6,11,6,1757,387
341,65,69,64,69,74,12,16,6,1872,386
284,40,47,78,70,49,8,14,12,1725,371
326,53,71,75,60,67,15,11,7,1765,372
273,49,66,48,70,40,15,9,9,1789,387
268,38,44,68,66,52,7,9,12,1759,375
192,24,20,75,55,18,8,10,9,1355,287
260,49,45,58,68,40,7,5,7,1791,389
307,63,55,71,72,46,14,10,10,1924,410
334,71,66,65,74,58,8,7,5,1954,412
237,34,42,68,62,31,14,14,8,1663,351
91,11,11,23,32,14,58,71,72,1139,375
230,36,30,67,64,33,13,10,10,1637,365
288,70,62,39,68,49,7,11,8,1723,372
283,67,51,45,70,50,12,9,14,1911,398
282,66,41,61,64,50,12,16,16,1789,378
302,70,62,51,67,52,7,14,10,1767,382
277,70,48,58,71,30,6,15,11,1905,397
254,49,29,71,71,34,9,7,10,1634,352
335,64,71,59,70,71,7,12,8,1909,402
300,59,57,54,71,59,13,8,14,1929,413
229,44,24,59,69,33,12,11,13,1674,362
270,38,55,70,71,36,9,6,14,1862,413
343,61,71,70,71,70,15,15,6,1832,372
304,60,52,55,70,67,12,13,15,1918,399
311,68,57,48,76,62,14,8,5,1817,397
85,15,13,13,30,14,67,69,73,1148,393
78,14,9,10,40,5,70,67,73,1063,376
230,45,28,73,67,17,7,7,15,1599,347
299,69,46,61,67,56,5,9,10,1821,387
267,66,46,52,65,38,9,7,6,1733,381
288,59,63,36,73,57,12,12,13,1836,396
288,61,61,52,69,45,13,11,10,1726,370
97,18,11,11,44,13,66,69,72,1203,390
332,68,69,49,73,73,3,3,3,1833,387
323,62,70,64,68,59,13,9,13,1778,386
343,72,70,67,70,64,7,12,15,1882,394
289,67,57,57,64,44,14,13,16,1826,386
313,63,62,61,66,61,23,7,21,1816,390
246,56,31,75,56,28,14,7,11,1609,340
355,68,75,75,66,71,12,8,11,1874,393
312,71,64,57,60,60,9,10,9,1895,403
322,63,68,62,63,66,9,6,11,1818,380
241,41,30,69,64,37,9,16,8,1616,348
276,55,40,55,78,48,8,16,6,1898,400
304,58,53,51,74,68,14,8,11,1858,387
115,17,20,16,44,18,67,69,74,1280,405
306,68,67,49,67,55,11,13,9,1781,388
253,67,29,54,67,36,6,12,10,1672,371
250,69,35,54,67,25,9,7,9,1754,391
277,59,57,45,72,44,10,9,11,1938,416
309,65,59,56,73,56,9,16,9,1960,398
280,23,71,74,59,53,12,8,8,1594,353
280,51,45,69,64,51,16,14,8,1747,368
333,48,70,74,69,72,13,13,6,1659,351
326,58,71,64,65,68,8,12,9,1711,369
209,26,17,70,67,29,14,7,7,1459,325
270,71,46,53,68,32,12,13,16,1830,400
287,68,61,40,65,53,8,10,7,1839,403
259,66,45,55,66,27,9,8,10,1695,377
308,37,71,73,63,64,11,11,13,1771,376
265,63,41,59,65,37,14,8,16,1838,396
261,70,44,40,67,40,6,15,7,1821,387
354,77,68,66,74,69,7,12,11,1864,378
293,60,45,69,73,46,11,16,9,1671,344
324,73,61,55,72,63,8,10,6,1946,407
274,78,36,57,73,30,8,12,14,1774,389
228,33,34,69,60,32,16,15,15,1715,373
293,73,66,23,71,60,12,13,12,1795,376
232,35,27,70,66,34,13,11,14,1521,331
293,57,60,42,75,59,14,12,7,1705,365
321,72,62,52,73,62,8,16,15,1936,395
83,13,14,20,23,13,66,67,73,1162,382
75,11,9,13,32,10,62,67,75,1116,374
326,58,71,74,61,62,6,11,7,1761,376
206,35,15,71,66,19,15,16,6,1439,310
294,63,65,39,70,57,14,11,7,1852,384
325,59,59,69,72,66,12,14,12,1922,413
57,11,13,11,12,10,70,67,71,1080,393
334,64,74,71,65,60,13,11,15,1705,366
329,61,73,61,68,66,6,11,13,1776,381
309,72,53,63,68,53,6,12,16,1883,385
336,66,68,72,66,64,7,8,8,1833,394
292,55,51,69,71,46,7,7,12,1797,386
97,13,18,15,35,16,60,70,70,1125,381
305,67,60,49,65,64,16,9,15,1754,380
291,54,58,59,72,48,14,11,7,1868,400
312,57,68,67,58,62,7,15,15,1690,370
260,33,27,68,72,60,13,9,12,1732,374
94,14,16,20,28,16,70,70,70,1188,394
304,70,63,49,67,55,6,11,13,1782,375
297,65,61,49,73,49,6,6,6,1852,406
255,69,31,56,63,36,10,5,11,1722,368
313,69,61,60,67,56,11,9,9,1955,409
277,45,52,68,70,42,9,13,8,1795,386
304,30,75,78,54,67,15,13,9,1581,357
319,57,74,66,62,60,9,8,9,1655,361
295,73,45,60,64,53,8,8,10,1838,391
253,76,31,54,59,33,5,14,5,1645,363
273,65,61,33,61,53,15,6,15,1631,367
218,35,20,74,63,26,10,12,9,1583,345
285,71,62,41,64,47,8,7,13,1814,397
294,66,59,39,70,60,7,13,11,1872,395
277,68,32,69,70,38,15,7,15,1719,367
333,62,75,71,66,59,14,8,13,1672,365
285,60,61,48,77,39,14,5,11,1773,383
318,63,71,56,70,58,6,8,12,1790,386
90,14,16,19,29,12,63,69,74,1146,386
329,66,67,56,74,66,8,15,10,1874,397
305,76,62,46,67,54,11,7,14,1832,380
286,66,42,62,63,53,11,15,16,1882,388
217,29,22,72,64,30,11,9,8,1513,325
324,57,68,63,70,66,6,14,8,1827,396
283,77,43,45,78,40,11,12,5,1775,369
296,68,59,64,64,41,12,15,10,1849,409
308,44,73,75,57,59,6,11,7,1677,359
84,18,17,18,20,11,66,72,70,1119,383
215,51,29,63,48,24,18,16,11,1606,328
58,13,5,10,22,8,75,74,73,995,420
285,80,52,53,52,48,6,15,8,1926,399
279,67,49,53,63,47,13,7,7,1874,400
331,67,69,62,64,69,7,7,12,1913,406
309,69,69,48,67,56,7,16,13,1779,380
208,28,30,73,56,21,14,6,7,1424,308
220,33,22,71,65,29,9,11,12,1534,335
208,22,19,70,68,29,12,7,15,1473,313
108,19,17,14,43,15,72,67,69,1273,389
309,45,72,68,65,59,8,14,14,1604,355
267,59,45,67,68,28,11,13,14,1732,366
89,18,13,14,29,15,64,74,69,1126,376
324,63,68,64,72,57,15,10,11,1815,378
272,55,40,68,74,35,11,9,10,1800,382
341,65,77,66,63,70,6,6,16,1788,367
308,75,51,60,72,50,47,50,59,1869,356
241,33,40,70,60,38,10,15,12,1649,357
266,49,33,68,70,46,12,8,8,1753,377
319,44,71,75,61,68,8,7,15,1658,356
312,65,52,59,77,59,10,11,11,1903,399
330,62,73,61,64,70,10,13,11,1798,382
78,11,16,15,19,17,61,67,74,1007,358
253,49,38,58,66,42,13,11,12,1789,385
302,63,66,42,68,63,8,11,10,1739,382
280,49,48,61,68,54,15,8,10,1767,355
292,64,68,35,68,57,6,14,14,1770,383
285,56,46,55,70,58,8,7,14,1877,389
347,72,62,63,74,76,13,14,7,1963,400
265,45,35,77,62,46,8,10,16,1586,335
291,67,67,34,74,49,12,7,7,1624,358
320,56,74,62,64,64,6,12,11,1714,365
313,52,66,64,68,63,9,8,11,1822,391
256,43,38,74,66,35,14,15,9,1615,333
300,73,58,46,69,54,13,6,9,1759,377
251,44,29,67,69,42,6,14,8,1664,370
316,72,70,58,62,54,13,12,14,1723,377
90,16,12,12,36,14,67,71,69,1194,398
303,38,70,70,57,68,6,5,11,1577,351
274,63,62,42,67,40,9,15,13,1781,381
236,49,28,70,53,36,7,14,13,1478,313
309,67,64,43,66,69,15,9,8,1923,408
305,58,62,59,73,53,7,10,6,1835,396
217,29,27,73,62,26,12,14,13,1583,355
311,66,65,47,70,63,13,9,7,1811,384
291,66,46,52,68,59,15,14,9,1877,397
304,70,63,52,73,46,15,8,11,1736,378
217,34,35,71,62,15,7,12,11,1386,305
322,69,64,55,77,57,13,7,9,1873,408
97,15,15,12,37,18,62,71,69,1169,380
98,17,19,12,32,18,63,65,72,1197,387
320,71,63,57,61,68,15,10,7,1653,355
316,65,67,55,70,59,12,15,6,1818,378
304,72,51,64,66,51,7,12,9,1821,388
319,51,72,72,61,63,15,12,10,1808,387
332,70,65,60,70,67,8,7,14,1865,385
336,68,73,67,68,60,6,15,14,1780,380
315,76,62,35,73,69,9,7,16,1826,365
315,75,59,50,73,58,12,15,14,1757,367
301,65,59,55,73,49,10,14,12,1912,411
214,29,30,72,51,32,11,12,8,1497,318
256,43,36,72,60,45,10,11,15,1658,357
319,43,73,72,64,67,11,16,9,1678,361
240,39,35,70,69,27,6,11,5,1580,345
303,67,56,50,68,62,9,15,16,1869,398
321,58,70,72,67,54,12,16,13,1733,363
295,58,42,59,73,63,14,14,11,1945,397
304,40,70,65,64,65,12,13,12,1613,345
294,67,55,59,62,51,13,8,12,1861,398
295,73,60,51,74,37,13,6,9,1775,390
228,47,28,73,66,14,16,9,15,1557,336
252,60,21,74,65,32,8,11,15,1652,351
292,44,56,65,67,60,7,12,15,1907,395
190,30,14,71,55,20,3,3,3,1397,325
310,43,72,70,65,60,13,11,9,1621,360
224,35,35,70,71,13,11,8,13,1515,337
247,58,12,70,58,49,12,12,6,1651,352
298,70,52,58,67,51,10,7,11,1898,402
314,51,72,67,67,57,7,8,13,1687,371
255,49,32,71,73,30,7,12,8,1554,347
211,32,28,68,65,18,13,8,13,1499,323
287,64,62,45,71,45,15,13,12,1883,398
314,68,52,56,72,66,7,7,12,1982,415
316,59,62,58,74,63,14,13,14,1874,390
324,64,66,66,70,58,10,7,16,1975,417
277,70,38,63,65,41,12,12,9,1731,370
240,35,37,77,48,43,11,11,10,1483,313
315,55,67,64,69,60,11,10,12,1955,419
301,71,66,40,63,61,14,15,15,1798,371
307,53,70,66,62,56,13,12,12,1762,388
326,55,63,69,69,70,13,12,11,1939,416
271,68,42,59,66,36,7,8,11,1778,382
312,39,72,75,62,64,12,13,13,1731,367
296,68,57,39,71,61,10,10,16,1743,365
248,39,41,63,65,40,7,8,11,1530,334
289,64,55,49,73,48,6,9,6,1836,387
259,40,41,77,67,34,14,8,8,1567,334
332,67,68,62,71,64,12,8,15,1764,374
95,14,15,18,36,12,53,69,76,1134,376
316,60,67,58,72,59,15,11,8,1949,409
279,52,52,63,71,41,14,13,11,1790,383
181,30,14,64,60,13,8,10,6,1584,348
321,79,60,49,71,62,13,13,12,1906,398
102,19,18,18,28,19,76,70,67,1310,392
300,39,71,66,52,72,14,13,9,1568,346
296,54,59,58,71,54,8,6,12,1929,411
323,67,70,61,70,55,10,7,7,1726,371
278,67,52,49,64,46,7,12,11,1777,375
94,17,16,15,28,18,65,69,71,1156,383
282,46,49,70,72,45,14,16,16,1671,368
307,66,66,47,71,57,15,14,13,1900,389
306,64,70,50,64,58,10,14,6,1746,384
272,69,46,66,62,29,7,12,14,1708,376
323,54,66,68,68,67,14,9,10,1709,361
310,44,73,67,61,65,8,7,8,1830,387
301,58,61,49,71,62,15,8,6,1902,394
307,58,74,49,63,63,15,9,11,1766,379
223,33,25,65,68,32,15,15,7,1510,323
85,10,12,14,32,17,77,68,70,1073,395
342,67,70,74,65,66,14,7,10,1903,398
323,62,70,62,67,62,10,7,6,1742,373
277,65,47,47,62,56,7,15,6,1833,385
276,47,57,53,71,48,8,15,7,1894,410
250,61,39,61,56,33,9,12,8,1679,366
325,66,69,58,67,65,12,13,15,1768,378
246,50,29,70,68,29,16,8,7,1650,362
309,65,61,51,73,59,15,14,6,1709,359
237,67,39,40,62,29,8,6,10,1745,394
51,8,8,11,20,4,61,73,74,1073,373
288,59,49,65,70,45,8,6,8,1812,396
297,66,47,59,67,58,9,13,12,1888,402
284,64,33,53,70,64,12,8,11,1836,385
268,52,51,49,70,46,13,15,9,1754,371
306,46,70,71,61,58,11,11,12,1592,353
268,46,48,56,71,47,8,7,13,1838,390
266,66,42,60,67,31,9,12,12,1706,371
271,68,36,50,61,56,13,8,11,1775,374
334,59,68,77,71,59,7,14,11,1920,407
83,12,13,10,36,12,62,71,69,1125,389
256,48,38,56,67,47,15,6,15,1738,381
71,11,8,15,26,11,68,71,69,1109,377
256,62,37,67,64,26,10,12,6,1575,333
302,59,51,58,71,63,9,15,9,1878,399
285,62,55,47,71,50,15,14,16,1730,355
